rst,empty,[8bits]DUT_LBDR.Rxy,[4bits]DUT_LBDR.Cx,[3bits]flit_id,[4bits]dst_addr,[4bits]DUT_LBDR.cur_addr,DUT_LBDR.Rne,DUT_LBDR.Rnw,DUT_LBDR.Ren,DUT_LBDR.Res,DUT_LBDR.Rwn,DUT_LBDR.Rws,DUT_LBDR.Rse,DUT_LBDR.Rsw,DUT_LBDR.Cn,DUT_LBDR.Ce,DUT_LBDR.Cw,DUT_LBDR.Cs,DUT_LBDR.N1,DUT_LBDR.E1,DUT_LBDR.W1,DUT_LBDR.S1,[2bits]DUT_LBDR.x_cur,[2bits]DUT_LBDR.y_cur,[2bits]DUT_LBDR.x_dst,[2bits]DUT_LBDR.y_dst Nport,Eport,Wport,Sport,Lport
1000111100111101010001010001111001111001010100010 00100
1100111100111101010001011001111001111001011100010 00000
1100111100111101010000010001111001111001110000010 00000
1111000011111100110001111110000111111101011110010 00000
1000111100111101010001111001111001111101011110010 00000
0111000011111101010001010110000111111001010100010 00000
0011000011111100111111010110000111111010110101111 00000
0111000011111101011111010110000111111010110101111 00010
0011000011111100101011010110000111111101010100101 00000
1011000011111100101011010110000111111101010100101 10000
1100111100111101001011001001111001111100001100101 00000
1100111100111100101010011001111001111001111000101 00000
1100111100111101001011101001111001111100001110101 00000
0011000011111100101100110110000111111000010011001 00000
1011000011111100101100110110000111111000010011001 00001
0000111100111101001100000001111001111010100001001 00000
1000111100111101001100000001111001111010100001001 00000
0011000011111101001100000110000111111010100001001 00000
1011000011111101001100000110000111111010100001001 00000
0011000011111100100111100110000111111110000111100 00000
0011000011111101000111100110000111111110000111100 10000
0111000011111100100111100110000111111110000111100 10000
0111000011111101000111100110000111111110000111100 00000
1111000011111100100111100110000111111110000111100 00000
1011000011111100100110011110000111111000011001100 00000
0000111100111101000111100001111001111110000111100 00000
1100111100111100100111100001111001111110000111100 00000
0100111100111101000110000001111001111010000001100 00000
0000111100111100101010000001111001111010100000101 00000
1000111100111100101010000001111001111010100000101 01000
0111000011111100101010001110000111111000101000101 00000
