rst,empty,[8bits]Rxy_rst,[4bits]Cx_rst,[3bits]flit_id,[4bits]dst_addr,[4bits]cur_addr_rst Nport,Eport,Wport,Sport,Lport
1111000011111100110100101 00000
0111000011111100110100101 00000
1011000011111100110101110 00000
1011000011111100110100100 00000
0111000011111101010100100 00000
0011000011111101010100100 00000
0111000011111101010100100 00000
0011000011111101010100100 00000
0011000011111100101100100 00000
0011000011111101001100100 01000
0011000011111100101010100 01000
0011000011111101001010100 01000
0011000011111100100110100 01000
0111000011111100100110100 10000
0011000011111101000110100 00000
1000111100111100100110000 00000
1011000011111101000111010 00000
1100111100111101000111111 00000
0000111100111100110111111 00000
1011000011111100110111111 10000
1000111100111100110111110 00000
1100111100111100110110011 00000
0100111100111101010110011 00000
1100111100111101010110010 00000
0100111100111100110110010 00000
0100111100111100110110010 00000
0000111100111101010110010 00000
1011000011111100110111101 00000
1111000011111100110110110 00000
1100111100111101010110101 00000
0100111100111101010110101 00000
1011000011111100110111111 00000
1011000011111101010111100 00000
1111000011111100110111111 00000
0111000011111100110111111 00000
1111000011111101010111001 00000
0011000011111100101011001 00000
0011000011111101001011001 10000
0111000011111100101011001 10000
1000111100111101001010010 00000
1100111100111101001011101 00000
0000111100111100101101101 00000
0000111100111101001101101 01000
1100111100111101001100101 01000
1000111100111100101101011 00000
0100111100111101001101011 00000
1000111100111100101100011 00000
1100111100111101001101000 00000
1100111100111101001100110 00000
1100111100111101001101101 00000
1111000011111100101100100 00000
1011000011111101001100100 00000
0111000011111100101100100 00000
0011000011111101001100100 00000
1000111100111100101101110 00000
1011000011111100101100001 00000
0011000011111101001100001 00000
1100111100111100101101101 00000
0100111100111100101101101 00000
0100111100111100101101101 00000
1000111100111100101100110 00000
0100111100111101001100110 00000
1111000011111101001101000 00000
0011000011111100110001000 00000
1111000011111100110000001 00001
1011000011111100110000111 00000
0111000011111100110000111 00000
0111000011111101010000111 00000
0111000011111101010000111 00000
0111000011111101010000111 00000
1111000011111101010001110 00000
0111000011111101010001110 00000
0011000011111101010001110 00000
0011000011111100110011110 00000
0011000011111100111001110 10000
0111000011111100111001110 00100
1100111100111101011000000 00000
0100111100111100111000000 00000
0000111100111100100010000 00000
0100111100111100100010000 01000
1011000011111101000010011 00000
1100111100111101000011110 00000
1000111100111100100011111 00000
1000111100111101000010101 00000
0100111100111101000010101 00000
1100111100111101000011001 00000
0100111100111100100011001 00000
0100111100111100100011001 00000
1011000011111100100010001 00000
0111000011111100100010001 00000
1111000011111100100010011 00000
1000111100111100100010010 00000
1111000011111101000010001 00000
0111000011111101000010001 00000
1100111100111100100010111 00000
0100111100111101000010111 00000
1111000011111100100011100 00000
0011000011111101000011100 00000
1111000011111100100011100 00000
0011000011111100111011100 00000
1100111100111100111010001 01000
1100111100111101011011000 00000
1111000011111101011010101 00000
1100111100111101011011100 00000
1111000011111101011010000 00000
1100111100111101011011011 00000
1011000011111100111011011 00000
1011000011111100111010111 00000
1011000011111101011010010 00000
1100111100111101011010111 00000
1000111100111101011010111 00000
1111000011111100111011110 00000
1011000011111100111010110 00000
1111000011111101011011100 00000
1011000011111100111010101 00000
1100111100111101011011100 00000
0100111100111100111011100 00000
1100111100111101011011110 00000
1011000011111101011010101 00000
0011000011111100111110101 00000
1100111100111100111111011 00010
1011000011111101011110000 00000
1011000011111101011110001 00000
1100111100111101011111011 00000
0100111100111101011111011 00000
0000111100111100111011011 00000
0000111100111100111111011 00100
0100111100111101011111011 00010
0000111100111101011111011 00000
0000111100111100100001011 00000
0100111100111100100001011 00100
1111000011111100100001010 00000
1111000011111101000001111 00000
1100111100111101000001010 00000
0100111100111100100001010 00000
1100111100111100100000000 00000
1000111100111100100001111 00000
1100111100111100100000001 00000
1011000011111101000000000 00000
1100111100111100100000100 00000
1111000011111101000000010 00000
1111000011111100100000111 00000
1100111100111100100001101 00000
0000111100111101000001101 00000
0000111100111100111101101 00000
0000111100111101011101101 01000
0000111100111101011101101 01000
1000111100111101011100001 01000
0100111100111100111100001 00000
1000111100111100111101000 00000
1100111100111101011100001 00000
1111000011111100111100111 00000
1000111100111100111101111 00000
1100111100111100111100010 00000
0100111100111101011100010 00000
1011000011111101011101011 00000
1111000011111100111100100 00000
0111000011111100111100100 00000
0011000011111100111110100 00000
0111000011111100111110100 00010
0011000011111100110110100 00000
1011000011111100110110001 00010
1011000011111100110111001 00000
1100111100111101010110010 00000
0000111100111100110000010 00000
1100111100111101010001000 00100
1011000011111100110001100 00000
0111000011111101010001100 00000
0111000011111101010001100 00000
0011000011111100101111100 00000
1100111100111101001111011 10000
0100111100111100101111011 00000
0100111100111101001111011 00000
1000111100111100101110110 00000
0100111100111101001110110 00000
1111000011111101001110001 00000
1111000011111101001110011 00000
0111000011111100101110011 00000
0011000011111101001110011 00000
1111000011111101001110010 00000
0111000011111101001110010 00000
1011000011111101001111110 00000
1111000011111100101110101 00000
0111000011111101001110101 00000
0011000011111100111110101 00000
1111000011111101011110000 00010
1011000011111100111110010 00000
0111000011111101011110010 00000
1011000011111101011110011 00000
0011000011111100111110011 00000
0111000011111101011110011 00010
0011000011111100110100011 00000
0011000011111101010100011 00010
0111000011111100110100011 00010
1111000011111101010101001 00000
1011000011111100110100010 00000
0111000011111100110100010 00000
1100111100111101010101000 00000
1011000011111100110101010 00000
1011000011111101010100001 00000
1100111100111101010101110 00000
0100111100111100110101110 00000
0100111100111101010101110 00000
1011000011111101010101110 00000
1100111100111100110101001 00000
1111000011111101010100111 00000
0011000011111101010100111 00000
0011000011111100110000111 00000
1100111100111100110001001 00010
1000111100111100110001110 00000
0100111100111100110001110 00000
0100111100111101010001110 00000
0000111100111101010001110 00000
1000111100111101010000001 00000
1100111100111101010000000 00000
1100111100111101010001101 00000
0000111100111101010001101 00000
1100111100111101010001011 00000
1000111100111100110001101 00000
1100111100111101010000000 00000
1111000011111101010001101 00000
1100111100111101010001011 00000
1000111100111100110000110 00000
1111000011111101010001100 00000
0011000011111100101101100 00000
0011000011111101001101100 10000
0011000011111100100011100 10000
1011000011111100100011110 10000
0011000011111101000011110 00000
0011000011111101000011110 00000
0011000011111101000011110 00000
0011000011111100100001110 00000
0011000011111100101101110 10000
1100111100111100101101110 10000
0000111100111101001101110 00000
1111000011111100101100001 00000
1011000011111101001101111 00000
1011000011111100101101010 00000
1111000011111100101100101 00000
0011000011111101001100101 00000
1000111100111101001100001 00000
0100111100111101001100001 00000
0100111100111100101100001 00000
1000111100111101001101010 00000
0000111100111100100001010 00000
0100111100111100100001010 00100
1011000011111100100000111 00000
0011000011111100111010111 00000
0111000011111100111010111 00010
1100111100111100111010000 00000
1100111100111100111011011 00000
1000111100111100111010000 00000
0100111100111100111010000 00000
0000111100111100111110000 00000
0100111100111100111110000 01000
1100111100111100111110010 00000
0000111100111101011110010 00000
0000111100111100110010010 00000
1011000011111101010010111 00100
1111000011111101010011100 00000
1011000011111100110011110 00000
0011000011111100100101110 00000
1111000011111101000101010 10000
0011000011111100100111010 00000
1000111100111101000110000 10000
0000111100111100111010000 00000
1111000011111100111010111 01000
1011000011111100111011000 00000
0011000011111101011011000 00000
1111000011111101011011110 00000
0011000011111101011011110 00000
0111000011111100111011110 00000
0111000011111100111011110 00000
1100111100111100111011110 00000
0100111100111101011011110 00000
1100111100111101011011101 00000
1011000011111101011010110 00000
1111000011111101011011100 00000
0011000011111101011011100 00000
1011000011111100111010101 00000
1011000011111101011010010 00000
0111000011111101011010010 00000
0111000011111100111010010 00000
0111000011111101011010010 00000
0011000011111100101010010 00000
0011000011111101001010010 00010
1000111100111100101011010 00010
0100111100111100101011010 00000
1111000011111101001010001 00000
1011000011111100101011111 00000
0011000011111100111101111 00000
1011000011111100111100001 00100
0111000011111101011100001 00000
0111000011111100111100001 00000
1111000011111100111101111 00000
1100111100111101011101000 00000
1000111100111100111101010 00000
0100111100111100111101010 00000
1000111100111100111101101 00000
1111000011111100111101000 00000
0111000011111101011101000 00000
1111000011111100111100110 00000
0011000011111100100010110 00000
1011000011111100100010001 10000
0011000011111100110010001 00000
1000111100111100110010010 00010
1000111100111100110010101 00000
0000111100111101010010101 00000
